epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6464,1.9847,2.14891,1.74478,0.89332,0.71669,0.84801,0.41071,1.70693,1.5437,1.42157,0.00052,0.00052,0.00052
2,27.6668,1.47105,1.23553,1.30766,0.87818,0.78696,0.89132,0.47288,1.50645,1.38654,1.32444,0.00103901,0.00103901,0.00103901
3,39.7034,1.39883,1.14754,1.25947,0.84242,0.73769,0.82438,0.41926,1.62146,1.6157,1.38514,0.00153664,0.00153664,0.00153664
4,51.6994,1.44081,1.12117,1.29393,0.80591,0.72576,0.79445,0.43659,1.49359,1.56236,1.37136,0.0018812,0.0018812,0.0018812
5,63.7304,1.35644,1.0358,1.25078,0.80362,0.78268,0.86224,0.45878,1.59405,1.22965,1.33475,0.0018416,0.0018416,0.0018416
6,75.7102,1.32087,0.9944,1.23947,0.87419,0.81659,0.91207,0.50179,1.44622,1.09815,1.2453,0.001802,0.001802,0.001802
7,87.7014,1.31607,0.9646,1.23619,0.87347,0.87424,0.93703,0.54568,1.37297,1.02988,1.24084,0.0017624,0.0017624,0.0017624
8,99.6771,1.3294,0.93693,1.24253,0.89638,0.88821,0.95247,0.57803,1.30394,0.8769,1.22161,0.0017228,0.0017228,0.0017228
9,111.656,1.30271,0.92783,1.23696,0.92348,0.86435,0.93678,0.54909,1.34513,0.93136,1.24138,0.0016832,0.0016832,0.0016832
10,123.671,1.30103,0.91205,1.22983,0.88346,0.87773,0.94876,0.57228,1.31388,0.86696,1.20661,0.0016436,0.0016436,0.0016436
11,135.652,1.26852,0.8776,1.21248,0.91184,0.87424,0.94511,0.55143,1.36617,0.90904,1.25809,0.001604,0.001604,0.001604
12,147.644,1.22474,0.85328,1.20299,0.90982,0.88821,0.94716,0.58638,1.28221,0.82534,1.17156,0.0015644,0.0015644,0.0015644
13,159.639,1.26695,0.84909,1.21538,0.90631,0.91241,0.95763,0.58767,1.29122,0.80777,1.17698,0.0015248,0.0015248,0.0015248
14,171.652,1.26506,0.84967,1.21999,0.86597,0.87467,0.93932,0.56973,1.34061,0.8721,1.20433,0.0014852,0.0014852,0.0014852
15,183.676,1.2391,0.83309,1.20189,0.89302,0.85852,0.93811,0.55845,1.36066,0.8466,1.22208,0.0014456,0.0014456,0.0014456
16,195.689,1.24351,0.82049,1.20102,0.8937,0.90306,0.94948,0.5852,1.25107,0.80172,1.18671,0.001406,0.001406,0.001406
17,207.669,1.22775,0.77918,1.19442,0.89091,0.91878,0.95983,0.59564,1.27684,0.77239,1.15897,0.0013664,0.0013664,0.0013664
18,219.643,1.22585,0.79631,1.19781,0.89548,0.89258,0.95154,0.58614,1.31139,0.77472,1.18259,0.0013268,0.0013268,0.0013268
19,231.569,1.20918,0.79015,1.19709,0.90435,0.87598,0.94704,0.58164,1.29317,0.80075,1.16272,0.0012872,0.0012872,0.0012872
20,243.504,1.21427,0.77131,1.18025,0.91546,0.86376,0.9502,0.59575,1.27541,0.75847,1.16175,0.0012476,0.0012476,0.0012476
21,255.476,1.19151,0.75323,1.18606,0.91639,0.89083,0.95738,0.60017,1.27249,0.75168,1.17641,0.001208,0.001208,0.001208
22,267.474,1.21438,0.78904,1.19385,0.88766,0.91616,0.95073,0.59836,1.25374,0.7338,1.15007,0.0011684,0.0011684,0.0011684
23,279.411,1.20061,0.74683,1.17549,0.91747,0.90294,0.9614,0.60893,1.2378,0.71738,1.1605,0.0011288,0.0011288,0.0011288
24,291.394,1.19365,0.74774,1.1765,0.90972,0.91616,0.9674,0.60821,1.25584,0.7423,1.14943,0.0010892,0.0010892,0.0010892
25,303.405,1.18315,0.74651,1.18294,0.92019,0.90655,0.96369,0.61264,1.24421,0.71366,1.16594,0.0010496,0.0010496,0.0010496
26,315.434,1.16,0.71971,1.16802,0.92565,0.89158,0.95902,0.60151,1.27688,0.73335,1.15175,0.00101,0.00101,0.00101
27,327.409,1.15732,0.71606,1.17127,0.91996,0.90044,0.96254,0.61117,1.23518,0.70524,1.14583,0.0009704,0.0009704,0.0009704
28,339.359,1.15623,0.69205,1.16454,0.93034,0.90974,0.96913,0.61246,1.25046,0.70143,1.15389,0.0009308,0.0009308,0.0009308
29,351.286,1.17497,0.72649,1.18278,0.92627,0.91266,0.96635,0.61494,1.21766,0.69057,1.15031,0.0008912,0.0008912,0.0008912
30,363.229,1.14768,0.6886,1.15252,0.91557,0.90655,0.96156,0.61852,1.22974,0.68094,1.13795,0.0008516,0.0008516,0.0008516
31,375.164,1.16133,0.6879,1.15851,0.93055,0.91878,0.96884,0.62338,1.22697,0.66121,1.13093,0.000812,0.000812,0.000812
32,387.164,1.14778,0.68525,1.14548,0.92623,0.91009,0.96567,0.61799,1.21879,0.6893,1.14183,0.0007724,0.0007724,0.0007724
33,399.101,1.13469,0.67714,1.15629,0.91677,0.9235,0.96786,0.61772,1.22375,0.68275,1.14632,0.0007328,0.0007328,0.0007328
34,411.031,1.11695,0.65518,1.14121,0.91529,0.93427,0.96671,0.62397,1.23212,0.66853,1.16167,0.0006932,0.0006932,0.0006932
35,422.966,1.13098,0.6643,1.15655,0.93811,0.91339,0.96725,0.62905,1.19988,0.64292,1.13719,0.0006536,0.0006536,0.0006536
36,434.905,1.13333,0.67373,1.15041,0.9248,0.91297,0.96445,0.61837,1.20549,0.67387,1.14219,0.000614,0.000614,0.000614
37,446.825,1.13717,0.66907,1.16128,0.92738,0.91092,0.96239,0.61912,1.22338,0.65521,1.15239,0.0005744,0.0005744,0.0005744
38,458.741,1.10075,0.64812,1.13876,0.92992,0.90917,0.96675,0.62742,1.21099,0.63757,1.14575,0.0005348,0.0005348,0.0005348
39,470.701,1.09102,0.64334,1.14198,0.93495,0.8952,0.9655,0.6314,1.19813,0.64456,1.13075,0.0004952,0.0004952,0.0004952
40,482.639,1.10648,0.64176,1.13568,0.92428,0.9214,0.96855,0.63383,1.19025,0.64877,1.12697,0.0004556,0.0004556,0.0004556
41,495.554,1.05551,0.59182,1.10266,0.92622,0.92751,0.96822,0.62755,1.20781,0.64814,1.14546,0.000416,0.000416,0.000416
42,507.357,1.07211,0.5802,1.1079,0.91729,0.92664,0.96864,0.62656,1.20202,0.64184,1.14939,0.0003764,0.0003764,0.0003764
43,519.187,1.04926,0.5692,1.10037,0.91886,0.90991,0.96732,0.6303,1.19383,0.64301,1.1313,0.0003368,0.0003368,0.0003368
44,531.016,1.05362,0.56249,1.09086,0.9301,0.92052,0.97141,0.63503,1.18629,0.62443,1.13216,0.0002972,0.0002972,0.0002972
45,542.849,1.02958,0.55088,1.08485,0.92803,0.92052,0.96933,0.63258,1.17437,0.61929,1.12948,0.0002576,0.0002576,0.0002576
46,554.668,1.03163,0.55934,1.08711,0.9389,0.92607,0.97448,0.6343,1.20096,0.61589,1.13861,0.000218,0.000218,0.000218
47,566.487,1.02574,0.53999,1.09107,0.93776,0.93432,0.97602,0.63692,1.18369,0.60382,1.1275,0.0001784,0.0001784,0.0001784
48,578.325,1.01825,0.53516,1.07968,0.93669,0.93035,0.97321,0.63831,1.18154,0.61351,1.12496,0.0001388,0.0001388,0.0001388
49,590.164,1.00571,0.53993,1.07782,0.92977,0.92926,0.97238,0.64127,1.17763,0.61252,1.12074,9.92e-05,9.92e-05,9.92e-05
50,602.002,1.0006,0.52289,1.07188,0.92839,0.93362,0.97378,0.64174,1.1808,0.59984,1.12086,5.96e-05,5.96e-05,5.96e-05
