epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0605,1.68092,1.4553,1.57114,0.55988,0.83962,0.79422,0.39728,1.50956,4.36915,1.3664,0.000655914,0.000655914,0.000655914
2,69.7364,1.40272,0.96513,1.35087,0.72044,0.84683,0.82117,0.47027,1.45911,1.33224,1.38033,0.00132248,0.00132248,0.00132248
3,104.381,1.36683,0.90947,1.34374,0.8404,0.82344,0.89046,0.48918,1.4315,1.37713,1.40024,0.00198865,0.00198865,0.00198865
4,138.994,1.36446,0.87278,1.36854,0.88348,0.87009,0.93045,0.51788,1.39196,1.45904,1.38969,0.00199864,0.00199864,0.00199864
5,173.596,1.35182,0.85568,1.33655,0.83917,0.81177,0.89699,0.50327,1.52473,1.15359,1.46791,0.00199759,0.00199759,0.00199759
6,207.996,1.34743,0.8452,1.35027,0.89534,0.87731,0.94321,0.57401,1.38434,0.80285,1.36971,0.00199623,0.00199623,0.00199623
7,242.457,1.30936,0.78552,1.32899,0.92839,0.88377,0.95355,0.5809,1.33569,0.75627,1.33999,0.00199458,0.00199458,0.00199458
8,276.906,1.29301,0.80853,1.32397,0.89185,0.85972,0.9457,0.58529,1.31794,0.80166,1.32981,0.00199262,0.00199262,0.00199262
9,311.429,1.30476,0.76363,1.31552,0.89545,0.86447,0.9454,0.56406,1.37341,0.76815,1.3184,0.00199037,0.00199037,0.00199037
10,348.73,1.29047,0.76442,1.30234,0.89268,0.87383,0.94191,0.57711,1.31066,0.74659,1.2771,0.00198781,0.00198781,0.00198781
11,383.154,1.28085,0.76615,1.30213,0.91364,0.89929,0.9486,0.58612,1.31324,0.7826,1.29579,0.00198496,0.00198496,0.00198496
12,417.622,1.26827,0.74465,1.30661,0.89993,0.91339,0.95185,0.57368,1.33419,0.77393,1.31019,0.00198181,0.00198181,0.00198181
13,452.001,1.26461,0.74937,1.30719,0.91013,0.9096,0.95971,0.59132,1.32162,0.71887,1.30303,0.00197837,0.00197837,0.00197837
14,486.498,1.26807,0.72188,1.28076,0.93444,0.8915,0.96121,0.58973,1.32391,0.72824,1.31307,0.00197463,0.00197463,0.00197463
15,520.904,1.26422,0.74305,1.29761,0.93579,0.89986,0.96494,0.58672,1.30671,0.81001,1.30909,0.00197059,0.00197059,0.00197059
16,555.313,1.23972,0.71611,1.28497,0.91341,0.89667,0.9545,0.5911,1.30061,0.76267,1.30677,0.00196627,0.00196627,0.00196627
17,589.719,1.22749,0.7179,1.28577,0.92848,0.91619,0.96425,0.61127,1.28406,0.68054,1.28009,0.00196165,0.00196165,0.00196165
18,624.173,1.21321,0.72118,1.28384,0.91483,0.88722,0.95822,0.5867,1.29153,0.76594,1.31637,0.00195674,0.00195674,0.00195674
19,658.564,1.20889,0.70148,1.26217,0.92306,0.91339,0.96717,0.6192,1.25409,0.71144,1.28641,0.00195155,0.00195155,0.00195155
20,693.039,1.21122,0.69812,1.27608,0.91771,0.91259,0.96238,0.59585,1.28716,0.69727,1.29571,0.00194606,0.00194606,0.00194606
21,727.44,1.23411,0.72815,1.29552,0.92806,0.89896,0.96039,0.599,1.29292,0.71005,1.29923,0.0019403,0.0019403,0.0019403
22,761.784,1.20724,0.69445,1.29425,0.92848,0.90573,0.96718,0.59063,1.31035,0.67545,1.33187,0.00193424,0.00193424,0.00193424
23,796.149,1.21156,0.68685,1.27131,0.94145,0.91557,0.96354,0.59991,1.27585,0.72462,1.30033,0.00192791,0.00192791,0.00192791
24,830.533,1.21142,0.70204,1.27173,0.92348,0.90977,0.96327,0.61781,1.23709,0.69059,1.26632,0.0019213,0.0019213,0.0019213
