epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4422,1.77537,1.60055,1.56473,0.6737,0.87074,0.84341,0.44588,1.41264,3.64845,1.34993,0.000654088,0.000654088,0.000654088
2,60.2093,1.4474,1.05696,1.34534,0.78721,0.81099,0.8548,0.44305,1.62725,2.10803,1.56083,0.00131204,0.00131204,0.00131204
3,89.9053,1.42877,0.96318,1.3516,0.83552,0.79856,0.87532,0.4744,1.58664,1.35789,1.54453,0.00196119,0.00196119,0.00196119
4,119.678,1.43958,0.95508,1.36161,0.88512,0.85764,0.92182,0.51729,1.39845,1.36581,1.36857,0.0019604,0.0019604,0.0019604
5,149.463,1.33578,0.86743,1.31295,0.8657,0.88122,0.91737,0.52315,1.46318,0.9167,1.46371,0.0019472,0.0019472,0.0019472
6,179.275,1.37367,0.87404,1.31772,0.91063,0.84279,0.93298,0.5478,1.35408,0.92612,1.36074,0.001934,0.001934,0.001934
7,209.02,1.33649,0.87119,1.31686,0.87775,0.90393,0.94161,0.52776,1.50484,0.87667,1.35788,0.0019208,0.0019208,0.0019208
8,238.768,1.33274,0.86507,1.31457,0.9192,0.90306,0.95091,0.56002,1.37731,0.77741,1.29857,0.0019076,0.0019076,0.0019076
9,268.649,1.33285,0.81078,1.29978,0.91805,0.90655,0.95613,0.55502,1.38237,0.81397,1.37875,0.0018944,0.0018944,0.0018944
10,298.336,1.31323,0.82028,1.28954,0.88411,0.89432,0.94228,0.56105,1.33362,0.87084,1.30706,0.0018812,0.0018812,0.0018812
11,328.064,1.28642,0.82282,1.28882,0.92513,0.89573,0.96176,0.58071,1.33403,0.78858,1.28616,0.001868,0.001868,0.001868
12,357.798,1.31305,0.80792,1.30293,0.90607,0.87621,0.9467,0.55678,1.37356,0.86711,1.35997,0.0018548,0.0018548,0.0018548
13,387.46,1.31927,0.80272,1.30482,0.89173,0.87756,0.94294,0.556,1.37658,0.82802,1.39195,0.0018416,0.0018416,0.0018416
14,417.136,1.25813,0.76121,1.26909,0.88153,0.86432,0.93167,0.55555,1.37545,0.81795,1.39611,0.0018284,0.0018284,0.0018284
15,446.813,1.28163,0.77631,1.2851,0.91053,0.90661,0.95477,0.57043,1.35225,0.78835,1.30348,0.0018152,0.0018152,0.0018152
16,476.483,1.25712,0.77448,1.26396,0.91322,0.91965,0.95513,0.59063,1.32938,0.77519,1.29602,0.001802,0.001802,0.001802
17,506.217,1.23577,0.74474,1.23848,0.92417,0.90472,0.95749,0.5943,1.29879,0.73068,1.30939,0.0017888,0.0017888,0.0017888
18,535.956,1.24835,0.75408,1.27387,0.93023,0.91995,0.95999,0.57731,1.34232,0.74387,1.30874,0.0017756,0.0017756,0.0017756
19,565.672,1.25364,0.75046,1.26208,0.89294,0.91051,0.95562,0.59128,1.3047,0.73983,1.27899,0.0017624,0.0017624,0.0017624
20,595.452,1.2262,0.72323,1.2467,0.91022,0.90319,0.94966,0.5861,1.28643,0.75192,1.29781,0.0017492,0.0017492,0.0017492
21,625.164,1.23925,0.74473,1.27625,0.89579,0.88646,0.95164,0.58207,1.31825,0.7868,1.3113,0.001736,0.001736,0.001736
22,654.869,1.22109,0.72248,1.25625,0.91975,0.89083,0.95294,0.59735,1.27687,0.76086,1.30976,0.0017228,0.0017228,0.0017228
23,684.614,1.22921,0.74707,1.26943,0.9222,0.91105,0.95868,0.60359,1.26812,0.75942,1.29296,0.0017096,0.0017096,0.0017096
24,714.368,1.21322,0.71088,1.24667,0.93905,0.86812,0.9552,0.59628,1.28448,0.75416,1.26909,0.0016964,0.0016964,0.0016964
25,744.16,1.23299,0.73302,1.25843,0.91501,0.90262,0.95864,0.59546,1.2939,0.70469,1.26129,0.0016832,0.0016832,0.0016832
